날짜,라인,계획생산량,실제생산량,불량수,불량률(%),가동률(%),UPH,비고
2025-01-10,L1-반도체,11787,10870,105,0.97,92.2,1358,
2025-01-10,L2-반도체,10563,9924,139,1.41,94,1240,
2025-01-10,L3-디스플레이,10029,9799,181,1.85,97.7,1224,
2025-01-10,L4-디스플레이,9047,8576,88,1.03,94.8,1072,
2025-01-10,L5-모바일,11199,10696,187,1.75,95.5,1337,
2025-01-13,L1-반도체,10393,9261,127,1.38,89.1,1157,
2025-01-13,L2-반도체,10858,9558,161,1.69,88,1194,
2025-01-13,L3-디스플레이,11947,10828,157,1.45,90.6,1353,
2025-01-13,L4-디스플레이,9731,9057,92,1.02,93.1,1132,
2025-01-13,L5-모바일,11561,10518,168,1.6,91,1314,
2025-01-14,L1-반도체,11494,10343,135,1.31,90,1292,
2025-01-14,L2-반도체,9661,9022,158,1.76,93.4,1127,
2025-01-14,L3-디스플레이,11172,10857,169,1.56,97.2,1357,
2025-01-14,L4-디스플레이,11001,9702,186,1.92,88.2,1212,
2025-01-14,L5-모바일,10259,9273,107,1.16,90.4,1159,
2025-01-15,L1-반도체,11323,11036,109,0.99,97.5,1379,
2025-01-15,L2-반도체,10990,10568,209,1.98,96.2,1321,
2025-01-15,L3-디스플레이,11181,10695,111,1.04,95.7,1336,
2025-01-15,L4-디스플레이,10946,10668,115,1.08,97.5,1333,
2025-01-15,L5-모바일,11161,10795,147,1.37,96.7,1349,
2025-01-16,L1-반도체,9867,9599,166,1.73,97.3,1199,
2025-01-16,L2-반도체,11825,10643,131,1.24,90,1330,
2025-01-16,L3-디스플레이,11751,11104,153,1.38,94.5,1388,
2025-01-16,L4-디스플레이,11119,10286,120,1.17,92.5,1285,
2025-01-16,L5-모바일,9262,8463,131,1.55,91.4,1057,
2025-01-17,L1-반도체,9942,9333,84,0.91,93.9,1166,
2025-01-17,L2-반도체,11899,11222,129,1.15,94.3,1402,
2025-01-17,L3-디스플레이,9128,8817,86,0.98,96.6,1102,
2025-01-17,L4-디스플레이,9974,9054,129,1.43,90.8,1131,
2025-01-17,L5-모바일,11208,10011,193,1.93,89.3,1251,
2025-01-20,L1-반도체,11338,10630,124,1.17,93.8,1328,
2025-01-20,L2-반도체,10937,10507,116,1.11,96.1,1313,
2025-01-20,L3-디스플레이,9397,8888,114,1.29,94.6,1111,
2025-01-20,L4-디스플레이,10683,9899,168,1.7,92.7,1237,
2025-01-20,L5-모바일,11758,11115,178,1.61,94.5,1389,
2025-01-21,L1-반도체,9248,8510,108,1.27,92,1063,
2025-01-21,L2-반도체,9447,8548,94,1.11,90.5,1068,
2025-01-21,L3-디스플레이,10837,9688,106,1.1,89.4,1211,
2025-01-21,L4-디스플레이,10894,9858,189,1.92,90.5,1232,
2025-01-21,L5-모바일,10815,10391,191,1.84,96.1,1298,
2025-01-22,L1-반도체,9401,8320,166,2,88.5,1040,
2025-01-22,L2-반도체,9060,8850,169,1.92,97.7,1106,
2025-01-22,L3-디스플레이,9968,8937,127,1.43,89.7,1117,
2025-01-22,L4-디스플레이,9875,9543,180,1.89,96.6,1192,
2025-01-22,L5-모바일,9674,8879,175,1.98,91.8,1109,
2025-01-23,L1-반도체,10086,9810,172,1.76,97.3,1226,
2025-01-23,L2-반도체,10168,9377,182,1.95,92.2,1172,
2025-01-23,L3-디스플레이,11276,10669,153,1.44,94.6,1333,
2025-01-23,L4-디스플레이,9777,8893,175,1.97,91,1111,
2025-01-23,L5-모바일,11372,10844,105,0.97,95.4,1355,
2025-01-24,L1-반도체,10284,9108,140,1.54,88.6,1138,
2025-01-24,L2-반도체,11059,10748,159,1.48,97.2,1343,
2025-01-24,L3-디스플레이,9232,9011,89,0.99,97.6,1126,
2025-01-24,L4-디스플레이,9761,8656,83,0.97,88.7,1082,
2025-01-24,L5-모바일,9963,9169,177,1.94,92,1146,
2025-01-27,L1-반도체,11333,10252,158,1.55,90.5,1281,
2025-01-27,L2-반도체,11536,10246,165,1.62,88.8,1280,
2025-01-27,L3-디스플레이,11315,10548,203,1.93,93.2,1318,
2025-01-27,L4-디스플레이,9836,9314,116,1.25,94.7,1164,
2025-01-27,L5-모바일,10087,9275,152,1.64,92,1159,
2025-01-28,L1-반도체,10228,9468,181,1.92,92.6,1183,
2025-01-28,L2-반도체,9297,8190,129,1.58,88.1,1023,
2025-01-28,L3-디스플레이,11306,11075,108,0.98,98,1384,
2025-01-28,L4-디스플레이,9873,9187,96,1.05,93.1,1148,
2025-01-28,L5-모바일,10429,10096,188,1.87,96.8,1262,
2025-01-29,L1-반도체,10513,9551,131,1.38,90.8,1193,
2025-01-29,L2-반도체,11225,10667,167,1.57,95,1333,
2025-01-29,L3-디스플레이,11678,10894,177,1.63,93.3,1361,
2025-01-29,L4-디스플레이,11271,10255,167,1.63,91,1281,
2025-01-29,L5-모바일,9550,8656,162,1.88,90.6,1082,
2025-01-30,L1-반도체,11266,10089,122,1.21,89.6,1261,
2025-01-30,L2-반도체,9862,9386,105,1.12,95.2,1173,
2025-01-30,L3-디스플레이,11597,11194,163,1.46,96.5,1399,
2025-01-30,L4-디스플레이,10028,9732,178,1.83,97.1,1216,
2025-01-30,L5-모바일,9378,8847,160,1.81,94.3,1105,
2025-01-31,L1-반도체,9180,8081,141,1.75,88,1010,
2025-01-31,L2-반도체,11609,11353,122,1.08,97.8,1419,
2025-01-31,L3-디스플레이,10809,10108,138,1.37,93.5,1263,
2025-01-31,L4-디스플레이,9039,8055,156,1.94,89.1,1006,
2025-01-31,L5-모바일,11830,11479,172,1.5,97,1434,
2025-02-03,L1-반도체,10512,9862,104,1.06,93.8,1232,
2025-02-03,L2-반도체,9522,8419,109,1.3,88.4,1052,
2025-02-03,L3-디스플레이,9163,8887,215,2.43,97,1110,
2025-02-03,L4-디스플레이,10022,9487,245,2.59,94.7,1185,
2025-02-03,L5-모바일,11293,10936,147,1.35,96.8,1367,
2025-02-04,L1-반도체,11542,11022,211,1.92,95.5,1377,
2025-02-04,L2-반도체,9969,9634,189,1.97,96.6,1204,
2025-02-04,L3-디스플레이,9725,9415,209,2.23,96.8,1176,
2025-02-04,L4-디스플레이,10360,9927,263,2.65,95.8,1240,
2025-02-04,L5-모바일,11743,11348,203,1.79,96.6,1418,
2025-02-05,L1-반도체,10092,9041,150,1.67,89.6,1130,
2025-02-05,L2-반도체,10566,10219,188,1.84,96.7,1277,
2025-02-05,L3-디스플레이,9911,8919,286,3.21,90,1114,
2025-02-05,L4-디스플레이,10432,9498,291,3.07,91.1,1187,
2025-02-05,L5-모바일,9932,8961,146,1.63,90.2,1120,
2025-02-06,L1-반도체,10632,9705,179,1.85,91.3,1213,
2025-02-06,L2-반도체,10143,9282,135,1.46,91.5,1160,
2025-02-06,L3-디스플레이,11783,11525,321,2.79,97.8,1440,
2025-02-06,L4-디스플레이,9113,8124,265,3.27,89.2,1015,
2025-02-06,L5-모바일,9731,9128,180,1.98,93.8,1141,
2025-02-07,L1-반도체,9156,8156,112,1.38,89.1,1019,
2025-02-07,L2-반도체,11984,11488,158,1.38,95.9,1436,
2025-02-07,L3-디스플레이,11094,9891,315,3.19,89.2,1236,
2025-02-07,L4-디스플레이,9778,8853,263,2.98,90.5,1106,
2025-02-07,L5-모바일,9006,8393,150,1.79,93.2,1049,
2025-02-10,L1-반도체,11813,11245,193,1.72,95.2,1405,
2025-02-10,L2-반도체,11746,10567,144,1.37,90,1320,
2025-02-10,L3-디스플레이,11720,11392,329,2.89,97.2,1424,
2025-02-10,L4-디스플레이,11717,11304,337,2.99,96.5,1413,
2025-02-10,L5-모바일,10230,9521,155,1.63,93.1,1190,
2025-02-11,L1-반도체,10336,9511,116,1.23,92,1188,
2025-02-11,L2-반도체,9521,8561,139,1.63,89.9,1070,
2025-02-11,L3-디스플레이,10552,10000,319,3.19,94.8,1250,
2025-02-11,L4-디스플레이,11521,10794,286,2.65,93.7,1349,
2025-02-11,L5-모바일,9001,8194,92,1.13,91,1024,
2025-02-12,L1-반도체,11375,10700,133,1.25,94.1,1337,
2025-02-12,L2-반도체,10809,9989,113,1.14,92.4,1248,
2025-02-12,L3-디스플레이,10938,10493,342,3.26,95.9,1311,
2025-02-12,L4-디스플레이,9695,9170,230,2.51,94.6,1146,
2025-02-12,L5-모바일,11719,11054,140,1.27,94.3,1381,
2025-02-13,L1-반도체,9962,9436,108,1.15,94.7,1179,
2025-02-13,L2-반도체,9815,8781,83,0.95,89.5,1097,
2025-02-13,L3-디스플레이,10946,10301,314,3.05,94.1,1287,
2025-02-13,L4-디스플레이,10865,10011,289,2.89,92.1,1251,
2025-02-13,L5-모바일,9796,9324,123,1.32,95.2,1165,
2025-02-14,L1-반도체,10636,7680,69,0.91,72.2,960,설비점검
2025-02-14,L2-반도체,9436,6623,117,1.78,70.2,827,설비점검
2025-02-14,L3-디스플레이,11850,7812,192,2.47,65.9,976,설비점검
2025-02-14,L4-디스플레이,9497,7210,211,2.93,75.9,901,설비점검
2025-02-14,L5-모바일,11289,8936,167,1.88,79.2,1117,설비점검
2025-02-17,L1-반도체,11509,11065,208,1.88,96.2,1383,
2025-02-17,L2-반도체,10747,10349,155,1.5,96.3,1293,
2025-02-17,L3-디스플레이,9651,9210,250,2.72,95.4,1151,
2025-02-17,L4-디스플레이,10061,9610,299,3.12,95.5,1201,
2025-02-17,L5-모바일,10135,9694,142,1.47,95.7,1211,
2025-02-18,L1-반도체,11567,10455,144,1.38,90.4,1306,
2025-02-18,L2-반도체,11922,10832,129,1.2,90.9,1354,
2025-02-18,L3-디스플레이,10309,9992,228,2.29,96.9,1249,
2025-02-18,L4-디스플레이,9617,8685,257,2.96,90.3,1085,
2025-02-18,L5-모바일,11893,10720,145,1.36,90.1,1340,
2025-02-19,L1-반도체,10355,9674,131,1.36,93.4,1209,
2025-02-19,L2-반도체,9847,9485,126,1.33,96.3,1185,
2025-02-19,L3-디스플레이,11392,11102,246,2.22,97.5,1387,
2025-02-19,L4-디스플레이,11358,10427,230,2.21,91.8,1303,
2025-02-19,L5-모바일,10440,9498,126,1.33,91,1187,
2025-02-20,L1-반도체,10716,10006,171,1.71,93.4,1250,
2025-02-20,L2-반도체,11470,11123,160,1.44,97,1390,
2025-02-20,L3-디스플레이,10117,9343,208,2.23,92.4,1167,
2025-02-20,L4-디스플레이,10376,9824,302,3.08,94.7,1228,
2025-02-20,L5-모바일,11966,10727,151,1.41,89.7,1340,
2025-02-21,L1-반도체,9522,9313,138,1.49,97.8,1164,
2025-02-21,L2-반도체,10613,9967,162,1.63,93.9,1245,
2025-02-21,L3-디스플레이,9343,8822,207,2.35,94.4,1102,
2025-02-21,L4-디스플레이,10891,9782,243,2.49,89.8,1222,
2025-02-21,L5-모바일,10340,9318,117,1.26,90.1,1164,
2025-02-24,L1-반도체,10552,9579,186,1.95,90.8,1197,
2025-02-24,L2-반도체,10726,9709,96,0.99,90.5,1213,
2025-02-24,L3-디스플레이,9079,8669,195,2.26,95.5,1083,
2025-02-24,L4-디스플레이,10433,9414,214,2.28,90.2,1176,
2025-02-24,L5-모바일,11669,10315,95,0.93,88.4,1289,
2025-02-25,L1-반도체,10012,9010,82,0.92,90,1126,
2025-02-25,L2-반도체,9624,8698,123,1.42,90.4,1087,
2025-02-25,L3-디스플레이,9468,8865,216,2.44,93.6,1108,
2025-02-25,L4-디스플레이,11865,10745,280,2.61,90.6,1343,
2025-02-25,L5-모바일,11481,10800,185,1.72,94.1,1350,
2025-02-26,L1-반도체,9469,9069,97,1.08,95.8,1133,
2025-02-26,L2-반도체,10274,9152,85,0.93,89.1,1144,
2025-02-26,L3-디스플레이,10277,9635,308,3.2,93.8,1204,
2025-02-26,L4-디스플레이,10537,9690,289,2.99,92,1211,
2025-02-26,L5-모바일,9311,8744,158,1.81,93.9,1093,
2025-02-27,L1-반도체,9994,8896,155,1.75,89,1112,
2025-02-27,L2-반도체,11802,11094,114,1.03,94,1386,
2025-02-27,L3-디스플레이,11318,10845,279,2.58,95.8,1355,
2025-02-27,L4-디스플레이,10754,10174,231,2.28,94.6,1271,
2025-02-27,L5-모바일,11652,10651,194,1.83,91.4,1331,
2025-02-28,L1-반도체,11007,9802,192,1.96,89.1,1225,
2025-02-28,L2-반도체,11603,11245,158,1.41,96.9,1405,
2025-02-28,L3-디스플레이,9626,8890,267,3.01,92.4,1111,
2025-02-28,L4-디스플레이,11664,10579,326,3.09,90.7,1322,
2025-02-28,L5-모바일,11204,10727,151,1.41,95.7,1340,
2025-03-03,L1-반도체,11994,11265,140,1.25,93.9,1408,
2025-03-03,L2-반도체,10005,9635,96,1,96.3,1204,
2025-03-03,L3-디스플레이,10846,9808,138,1.41,90.4,1226,
2025-03-03,L4-디스플레이,11499,10887,138,1.27,94.7,1360,
2025-03-03,L5-모바일,11024,10639,117,1.1,96.5,1329,
2025-03-04,L1-반도체,9868,9033,106,1.18,91.5,1129,
2025-03-04,L2-반도체,10145,9820,163,1.67,96.8,1227,
2025-03-04,L3-디스플레이,10131,9478,139,1.47,93.6,1184,
2025-03-04,L4-디스플레이,9782,8691,146,1.69,88.9,1086,
2025-03-04,L5-모바일,11001,10291,119,1.16,93.6,1286,
2025-03-05,L1-반도체,10950,10343,148,1.44,94.5,1292,
2025-03-05,L2-반도체,9070,8065,91,1.14,88.9,1008,
2025-03-05,L3-디스플레이,11833,10700,174,1.63,90.4,1337,
2025-03-05,L4-디스플레이,10511,9747,144,1.48,92.7,1218,
2025-03-05,L5-모바일,10742,10523,158,1.51,98,1315,
2025-03-06,L1-반도체,10441,9921,119,1.2,95,1240,
2025-03-06,L2-반도체,10029,9056,153,1.69,90.3,1132,
2025-03-06,L3-디스플레이,10292,9180,136,1.49,89.2,1147,
2025-03-06,L4-디스플레이,11826,10625,121,1.14,89.9,1328,
2025-03-06,L5-모바일,10983,9968,154,1.55,90.8,1246,
2025-03-07,L1-반도체,11148,10475,207,1.98,94,1309,
2025-03-07,L2-반도체,9795,8909,115,1.3,91,1113,
2025-03-07,L3-디스플레이,10238,9023,134,1.49,88.1,1127,
2025-03-07,L4-디스플레이,10123,8954,85,0.96,88.5,1119,
2025-03-07,L5-모바일,10196,9683,100,1.04,95,1210,
2025-03-10,L1-반도체,11010,9801,89,0.91,89,1225,
2025-03-10,L2-반도체,10164,9421,130,1.38,92.7,1177,
2025-03-10,L3-디스플레이,9755,9526,112,1.18,97.7,1190,
2025-03-10,L4-디스플레이,10956,9766,94,0.97,89.1,1220,
2025-03-10,L5-모바일,11014,9773,155,1.59,88.7,1221,
2025-03-11,L1-반도체,9219,8252,147,1.79,89.5,1031,
2025-03-11,L2-반도체,10244,9101,106,1.17,88.9,1137,
2025-03-11,L3-디스플레이,11285,10793,169,1.57,95.6,1349,
2025-03-11,L4-디스플레이,11533,10409,153,1.47,90.3,1301,
2025-03-11,L5-모바일,10845,10528,129,1.23,97.1,1316,
2025-03-12,L1-반도체,11410,11170,138,1.24,97.9,1396,
2025-03-12,L2-반도체,11543,10227,200,1.96,88.6,1278,
2025-03-12,L3-디스플레이,9406,9168,103,1.13,97.5,1146,
2025-03-12,L4-디스플레이,9864,8941,88,0.99,90.6,1117,
2025-03-12,L5-모바일,9982,8957,87,0.98,89.7,1119,
2025-03-13,L1-반도체,9010,8296,137,1.66,92.1,1037,
2025-03-13,L2-반도체,10924,9931,114,1.15,90.9,1241,
2025-03-13,L3-디스플레이,11895,10803,199,1.85,90.8,1350,
2025-03-13,L4-디스플레이,9291,8814,169,1.92,94.9,1101,
2025-03-13,L5-모바일,11560,10854,193,1.78,93.9,1356,
2025-03-14,L1-반도체,9810,9049,135,1.5,92.3,1131,
2025-03-14,L2-반도체,11652,10427,124,1.19,89.5,1303,
2025-03-14,L3-디스플레이,9582,8500,91,1.08,88.7,1062,
2025-03-14,L4-디스플레이,10259,9638,174,1.81,94,1204,
2025-03-14,L5-모바일,10182,9407,133,1.42,92.4,1175,
2025-03-17,L1-반도체,10245,9732,188,1.94,95,1216,
2025-03-17,L2-반도체,11049,10319,142,1.38,93.4,1289,
2025-03-17,L3-디스플레이,11449,10120,139,1.38,88.4,1265,
2025-03-17,L4-디스플레이,10320,9704,90,0.93,94,1213,
2025-03-17,L5-모바일,9937,9700,176,1.82,97.6,1212,
2025-03-18,L1-반도체,11356,10660,98,0.92,93.9,1332,
2025-03-18,L2-반도체,11753,11308,173,1.53,96.2,1413,
2025-03-18,L3-디스플레이,9717,9008,145,1.62,92.7,1126,
2025-03-18,L4-디스플레이,10139,9106,140,1.54,89.8,1138,
2025-03-18,L5-모바일,11600,11152,219,1.97,96.1,1394,
2025-03-19,L1-반도체,10925,9994,126,1.27,91.5,1249,
2025-03-19,L2-반도체,11744,10457,112,1.08,89,1307,
2025-03-19,L3-디스플레이,10686,10144,123,1.22,94.9,1268,
2025-03-19,L4-디스플레이,10640,10228,154,1.51,96.1,1278,
2025-03-19,L5-모바일,10862,9654,113,1.18,88.9,1206,
2025-03-20,L1-반도체,9474,9256,124,1.34,97.7,1157,
2025-03-20,L2-반도체,11107,10690,96,0.9,96.2,1336,
2025-03-20,L3-디스플레이,11222,10393,99,0.96,92.6,1299,
2025-03-20,L4-디스플레이,11123,10190,176,1.73,91.6,1273,
2025-03-20,L5-모바일,11561,10684,102,0.96,92.4,1335,
2025-03-21,L1-반도체,10093,9436,181,1.92,93.5,1179,
2025-03-21,L2-반도체,10794,10449,149,1.43,96.8,1306,
2025-03-21,L3-디스플레이,9118,8911,139,1.57,97.7,1113,
2025-03-21,L4-디스플레이,9980,9490,117,1.24,95.1,1186,
2025-03-21,L5-모바일,9056,8469,84,1,93.5,1058,
2025-03-24,L1-반도체,9464,8765,90,1.03,92.6,1095,
2025-03-24,L2-반도체,9630,8954,151,1.69,93,1119,
2025-03-24,L3-디스플레이,11084,10535,143,1.36,95.1,1316,
2025-03-24,L4-디스플레이,10976,10734,125,1.17,97.8,1341,
2025-03-24,L5-모바일,11257,10068,111,1.11,89.4,1258,
2025-03-25,L1-반도체,11455,10662,199,1.87,93.1,1332,
2025-03-25,L2-반도체,9285,8427,149,1.77,90.8,1053,
2025-03-25,L3-디스플레이,10699,9778,173,1.77,91.4,1222,
2025-03-25,L4-디스플레이,10094,9710,117,1.21,96.2,1213,
2025-03-25,L5-모바일,10222,9851,151,1.54,96.4,1231,
2025-03-26,L1-반도체,11703,10871,115,1.06,92.9,1358,
2025-03-26,L2-반도체,11206,10404,132,1.27,92.8,1300,
2025-03-26,L3-디스플레이,11225,10301,198,1.93,91.8,1287,
2025-03-26,L4-디스플레이,9772,9557,110,1.16,97.8,1194,
2025-03-26,L5-모바일,10568,9546,167,1.75,90.3,1193,
2025-03-27,L1-반도체,9178,8368,118,1.42,91.2,1046,
2025-03-27,L2-반도체,10561,9701,158,1.63,91.9,1212,
2025-03-27,L3-디스플레이,11670,11414,164,1.44,97.8,1426,
2025-03-27,L4-디스플레이,9151,8168,160,1.96,89.3,1021,
2025-03-27,L5-모바일,10359,10016,186,1.86,96.7,1252,
2025-03-28,L1-반도체,10803,9614,182,1.9,89,1201,
2025-03-28,L2-반도체,9062,8629,116,1.35,95.2,1078,
2025-03-28,L3-디스플레이,11681,11412,111,0.98,97.7,1426,
2025-03-28,L4-디스플레이,10085,9216,152,1.66,91.4,1152,
2025-03-28,L5-모바일,11661,10355,130,1.26,88.8,1294,
2025-03-31,L1-반도체,11762,11361,149,1.32,96.6,1420,
2025-03-31,L2-반도체,10297,9706,182,1.88,94.3,1213,
2025-03-31,L3-디스플레이,10998,10637,99,0.94,96.7,1329,
2025-03-31,L4-디스플레이,9280,8384,138,1.65,90.3,1048,
2025-03-31,L5-모바일,10177,9970,171,1.72,98,1246,
